District,Soil_Type,Rainfall_mm,Crop,Season,Area_ha,Production_tonnes,Yield_tpha,Year
Visakhapatnam,Laterite Soil,515,Cotton,Kharif,132000,295680,2.24,2016
Visakhapatnam,Laterite Soil,518,Millets,Kharif,16964,21713,1.28,2016
Visakhapatnam,Laterite Soil,676,Pulses,Rabi,109513,133605,1.22,2016
Visakhapatnam,Laterite Soil,726,Tomato,Rabi,89016,2851182,32.03,2016
Visakhapatnam,Laterite Soil,625,Chilli,Rabi,82099,208531,2.54,2016
Visakhapatnam,Laterite Soil,674,Sugarcane,Annual,44242,4196796,94.86,2016
Vizianagaram,Red Loam,990,Rice,Kharif,10928,49066,4.49,2016
Vizianagaram,Red Loam,973,Maize,Rabi,149615,658306,4.4,2016
Vizianagaram,Red Loam,654,Groundnut,Kharif,43513,61788,1.42,2016
Vizianagaram,Red Loam,1131,Cotton,Kharif,11097,22526,2.03,2016
Vizianagaram,Red Loam,779,Millets,Kharif,60672,104962,1.73,2016
Vizianagaram,Red Loam,593,Pulses,Rabi,37257,57003,1.53,2016
Vizianagaram,Red Loam,969,Tomato,Rabi,68052,2377736,34.94,2016
Vizianagaram,Red Loam,992,Chilli,Rabi,95128,252089,2.65,2016
Vizianagaram,Red Loam,647,Sugarcane,Annual,116103,9943060,85.64,2016
Srikakulam,Red Loam,592,Rice,Kharif,11268,57241,5.08,2016
Srikakulam,Red Loam,516,Maize,Rabi,47932,199397,4.16,2016
Srikakulam,Red Loam,945,Groundnut,Kharif,82088,142012,1.73,2016
Srikakulam,Red Loam,841,Cotton,Kharif,79538,218729,2.75,2016
Srikakulam,Red Loam,535,Millets,Kharif,146208,226622,1.55,2016
Srikakulam,Red Loam,815,Pulses,Rabi,113654,154569,1.36,2016
Srikakulam,Red Loam,1033,Tomato,Rabi,31090,1075714,34.6,2016
Srikakulam,Red Loam,759,Chilli,Rabi,88564,232923,2.63,2016
Srikakulam,Red Loam,707,Sugarcane,Annual,25110,2373397,94.52,2016
Kurnool,Black Soil,1073,Rice,Kharif,10992,45726,4.16,2016
Kurnool,Black Soil,766,Maize,Rabi,31086,119681,3.85,2016
Kurnool,Black Soil,728,Groundnut,Kharif,74868,131767,1.76,2016
Kurnool,Black Soil,640,Cotton,Kharif,112972,264354,2.34,2016
Kurnool,Black Soil,671,Millets,Kharif,74896,119084,1.59,2016
Kurnool,Black Soil,927,Pulses,Rabi,142674,208304,1.46,2016
Kurnool,Black Soil,1174,Tomato,Rabi,134452,3558944,26.47,2016
Kurnool,Black Soil,951,Chilli,Rabi,89578,353833,3.95,2016
Kurnool,Black Soil,861,Sugarcane,Annual,73868,6052743,81.94,2016
Eluru,Clay Loam,1046,Rice,Kharif,143784,736174,5.12,2016
Eluru,Clay Loam,815,Maize,Rabi,112890,502360,4.45,2016
Eluru,Clay Loam,977,Groundnut,Kharif,22388,42984,1.92,2016
Eluru,Clay Loam,1058,Cotton,Kharif,51081,113399,2.22,2016
Eluru,Clay Loam,845,Millets,Kharif,144471,234043,1.62,2016
Eluru,Clay Loam,1025,Pulses,Rabi,134797,141536,1.05,2016
Eluru,Clay Loam,1003,Tomato,Rabi,136181,3307836,24.29,2016
Eluru,Clay Loam,910,Chilli,Rabi,12138,43575,3.59,2016
Eluru,Clay Loam,1086,Sugarcane,Annual,15128,1327179,87.73,2016
Bapatla,Sandy Loam,671,Rice,Kharif,115453,512611,4.44,2016
Bapatla,Sandy Loam,814,Maize,Rabi,44408,199836,4.5,2016
Bapatla,Sandy Loam,1176,Groundnut,Kharif,17699,35751,2.02,2016
Bapatla,Sandy Loam,547,Cotton,Kharif,65176,172064,2.64,2016
Bapatla,Sandy Loam,858,Millets,Kharif,110325,172107,1.56,2016
Bapatla,Sandy Loam,1035,Pulses,Rabi,31215,39330,1.26,2016
Bapatla,Sandy Loam,562,Tomato,Rabi,146916,4232649,28.81,2016
Bapatla,Sandy Loam,1162,Chilli,Rabi,42233,117407,2.78,2016
Bapatla,Sandy Loam,555,Sugarcane,Annual,74322,6960255,93.65,2016
Anantapur,Red Soil,800,Rice,Kharif,82399,377387,4.58,2017
Anantapur,Red Soil,1022,Maize,Rabi,114451,482983,4.22,2017
Anantapur,Red Soil,1053,Groundnut,Kharif,85567,159154,1.86,2017
Anantapur,Red Soil,1069,Cotton,Kharif,123159,336224,2.73,2017
Anantapur,Red Soil,1173,Millets,Kharif,70713,115969,1.64,2017
Anantapur,Red Soil,675,Pulses,Rabi,142940,164381,1.15,2017
Anantapur,Red Soil,1142,Tomato,Rabi,121159,4154542,34.29,2017
Anantapur,Red Soil,1040,Chilli,Rabi,88084,280987,3.19,2017
Anantapur,Red Soil,576,Sugarcane,Annual,93657,7544071,80.55,2017
Chittoor,Red Soil,748,Rice,Kharif,74217,313195,4.22,2017
Chittoor,Red Soil,1064,Maize,Rabi,99319,481697,4.85,2017
Chittoor,Red Soil,572,Groundnut,Kharif,83620,165567,1.98,2017
Chittoor,Red Soil,1087,Cotton,Kharif,69653,149753,2.15,2017
Chittoor,Red Soil,561,Millets,Kharif,23039,33867,1.47,2017
Chittoor,Red Soil,579,Pulses,Rabi,142422,225026,1.58,2017
Chittoor,Red Soil,743,Tomato,Rabi,30041,872090,29.03,2017
Chittoor,Red Soil,537,Chilli,Rabi,128213,510287,3.98,2017
Chittoor,Red Soil,1168,Sugarcane,Annual,136127,10391935,76.34,2017
Guntur,Clay Loam,874,Rice,Kharif,125911,644664,5.12,2017
Guntur,Clay Loam,921,Maize,Rabi,115191,496473,4.31,2017
Guntur,Clay Loam,568,Groundnut,Kharif,112068,233101,2.08,2017
Guntur,Clay Loam,1015,Cotton,Kharif,9305,18423,1.98,2017
Guntur,Clay Loam,1174,Millets,Kharif,97452,158846,1.63,2017
Guntur,Clay Loam,968,Pulses,Rabi,92940,94798,1.02,2017
Guntur,Clay Loam,689,Tomato,Rabi,10443,346707,33.2,2017
Guntur,Clay Loam,523,Chilli,Rabi,148873,486814,3.27,2017
Guntur,Clay Loam,727,Sugarcane,Annual,73987,6743175,91.14,2017
Krishna,Clay Loam,1028,Rice,Kharif,18400,93472,5.08,2017
Krishna,Clay Loam,611,Maize,Rabi,127617,534715,4.19,2017
Krishna,Clay Loam,715,Groundnut,Kharif,99416,147135,1.48,2017
Krishna,Clay Loam,1139,Cotton,Kharif,31793,57545,1.81,2017
Krishna,Clay Loam,506,Millets,Kharif,139051,211357,1.52,2017
Krishna,Clay Loam,622,Pulses,Rabi,28321,37100,1.31,2017
Krishna,Clay Loam,1157,Tomato,Rabi,34666,1059046,30.55,2017
Krishna,Clay Loam,1089,Chilli,Rabi,44132,115184,2.61,2017
Krishna,Clay Loam,871,Sugarcane,Annual,20773,1839656,88.56,2017
East Godavari,Clay Soil,923,Rice,Kharif,9524,49239,5.17,2017
East Godavari,Clay Soil,832,Maize,Rabi,128863,574728,4.46,2017
East Godavari,Clay Soil,502,Groundnut,Kharif,62637,134043,2.14,2017
East Godavari,Clay Soil,919,Cotton,Kharif,5552,14601,2.63,2017
East Godavari,Clay Soil,1129,Millets,Kharif,29609,38787,1.31,2017
East Godavari,Clay Soil,532,Pulses,Rabi,141320,180889,1.28,2017
East Godavari,Clay Soil,717,Tomato,Rabi,138856,2788228,20.08,2017
East Godavari,Clay Soil,1063,Chilli,Rabi,69972,211315,3.02,2017
East Godavari,Clay Soil,540,Sugarcane,Annual,65407,5958577,91.1,2017
West Godavari,Clay Soil,659,Rice,Kharif,124100,562173,4.53,2017
West Godavari,Clay Soil,1130,Maize,Rabi,18356,70854,3.86,2017
West Godavari,Clay Soil,690,Groundnut,Kharif,11373,21836,1.92,2017
West Godavari,Clay Soil,1152,Cotton,Kharif,104521,249805,2.39,2017
West Godavari,Clay Soil,959,Millets,Kharif,47131,83893,1.78,2017
West Godavari,Clay Soil,745,Pulses,Rabi,143580,228292,1.59,2017
West Godavari,Clay Soil,1188,Tomato,Rabi,76672,1912199,24.94,2017
West Godavari,Clay Soil,560,Chilli,Rabi,25729,74099,2.88,2017
West Godavari,Clay Soil,673,Sugarcane,Annual,62189,4662931,74.98,2017
Prakasam,Red Soil,588,Rice,Kharif,119933,524107,4.37,2017
Prakasam,Red Soil,526,Maize,Rabi,36071,156187,4.33,2017
Prakasam,Red Soil,963,Groundnut,Kharif,100543,219183,2.18,2017
Prakasam,Red Soil,606,Cotton,Kharif,32963,66255,2.01,2017
Prakasam,Red Soil,835,Millets,Kharif,35936,49232,1.37,2017
Prakasam,Red Soil,1151,Pulses,Rabi,20072,31713,1.58,2017
Prakasam,Red Soil,927,Tomato,Rabi,30295,977619,32.27,2017
Prakasam,Red Soil,779,Chilli,Rabi,79021,287636,3.64,2017
Prakasam,Red Soil,588,Sugarcane,Annual,84900,7766652,91.48,2017
Kadapa,Red Soil,641,Rice,Kharif,63375,261105,4.12,2017
Kadapa,Red Soil,576,Maize,Rabi,28890,130005,4.5,2017
Kadapa,Red Soil,965,Groundnut,Kharif,97173,156448,1.61,2017
Kadapa,Red Soil,1072,Cotton,Kharif,42142,97769,2.32,2017
Kadapa,Red Soil,973,Millets,Kharif,110416,154582,1.4,2017
Kadapa,Red Soil,1130,Pulses,Rabi,45911,68407,1.49,2017
Kadapa,Red Soil,1085,Tomato,Rabi,49288,1093207,22.18,2017
Kadapa,Red Soil,1120,Chilli,Rabi,71468,244420,3.42,2017
Kadapa,Red Soil,1061,Sugarcane,Annual,84997,6316127,74.31,2017
Nellore,Sandy Soil,854,Rice,Kharif,86377,348099,4.03,2017
Nellore,Sandy Soil,1069,Maize,Rabi,66932,257018,3.84,2017
Nellore,Sandy Soil,755,Groundnut,Kharif,5180,9893,1.91,2017
Nellore,Sandy Soil,952,Cotton,Kharif,145144,296093,2.04,2017
Nellore,Sandy Soil,687,Millets,Kharif,81980,126249,1.54,2017
Nellore,Sandy Soil,1144,Pulses,Rabi,143754,196942,1.37,2017
Nellore,Sandy Soil,1089,Tomato,Rabi,139523,3454589,24.76,2017
Nellore,Sandy Soil,849,Chilli,Rabi,131453,465343,3.54,2017
Nellore,Sandy Soil,540,Sugarcane,Annual,109051,9527785,87.37,2017
Visakhapatnam,Laterite Soil,631,Rice,Kharif,145558,622988,4.28,2017
Visakhapatnam,Laterite Soil,504,Maize,Rabi,50770,217803,4.29,2017
Visakhapatnam,Laterite Soil,1056,Groundnut,Kharif,45777,94300,2.06,2017
Visakhapatnam,Laterite Soil,583,Cotton,Kharif,31662,83904,2.65,2017
Visakhapatnam,Laterite Soil,628,Millets,Kharif,24990,37235,1.49,2017
Visakhapatnam,Laterite Soil,735,Pulses,Rabi,49612,53580,1.08,2017
Visakhapatnam,Laterite Soil,706,Tomato,Rabi,88677,2205396,24.87,2017
Visakhapatnam,Laterite Soil,1010,Chilli,Rabi,31752,99701,3.14,2017
Visakhapatnam,Laterite Soil,833,Sugarcane,Annual,64102,5214056,81.34,2017
Vizianagaram,Red Loam,1059,Rice,Kharif,34648,162845,4.7,2017
Vizianagaram,Red Loam,1046,Maize,Rabi,119960,484638,4.04,2017
Vizianagaram,Red Loam,662,Groundnut,Kharif,9254,14436,1.56,2017
